Column1,Column2
192.168.11.111              ,50:9a:4c:17:c0:a7   C                     
192.168.17.195                   ,(incomplete)                              
192.168.1.51                     ,(incomplete)                              
192.168.11.112              ,00:15:65:e2:70:b9   C                     
192.168.12.83               ,50:9a:4c:17:c2:12   C                     
192.168.1.52                     ,(incomplete)                              
192.168.12.84               ,e4:54:e8:9d:95:20   C                     
192.168.11.113              ,00:5f:86:d1:26:86   C                     
192.168.1.53                     ,(incomplete)                              
192.168.12.85               ,80:5e:c0:04:40:15   C                     
192.168.24.147              ,e4:54:e8:b7:66:1b   C                     
192.168.11.114              ,8c:ec:4b:71:3d:3a   C                     
192.168.1.54                     ,(incomplete)                              
192.168.1.55                     ,(incomplete)                              
192.168.1.56                     ,(incomplete)                              
192.168.12.88               ,8c:ec:4b:71:3e:a1   C                     
192.168.1.57                     ,(incomplete)                              
192.168.1.58                     ,(incomplete)                              
192.168.6.69                ,fc:6b:f0:fe:19:9e   C                     
192.168.13.8                ,8c:e7:48:99:5f:63   C                     
192.168.1.59                     ,(incomplete)                              
192.168.13.9                ,4c:91:7a:b0:01:ef   C                     
192.168.12.91               ,80:5e:c0:04:40:1b   C                     
192.168.6.71                ,c2:30:cc:35:6a:50   C                     
192.168.1.60                     ,(incomplete)                              
192.168.6.72                     ,(incomplete)                              
192.168.1.61                     ,(incomplete)                              
192.168.12.93               ,80:5e:c0:04:3f:66   C                     
192.168.11.122              ,00:15:65:a4:29:88   C                     
192.168.1.62                     ,(incomplete)                              
192.168.6.73                ,36:74:1a:df:a9:a7   C                     
192.168.12.94               ,80:5e:c0:04:40:1d   C                     
192.168.11.123              ,00:15:65:e2:6e:8f   C                     
192.168.1.63                     ,(incomplete)                              
192.168.11.124              ,8c:ec:4b:71:3a:a9   C                     
192.168.1.64                     ,(incomplete)                              
192.168.1.65                     ,(incomplete)                              
192.168.12.97               ,80:5e:c0:04:40:21   C                     
192.168.11.126              ,00:15:65:e2:6d:da   C                     
192.168.1.66                     ,(incomplete)                              
192.168.12.98               ,80:5e:c0:04:3f:6a   C                     
192.168.1.67                     ,(incomplete)                              
192.168.6.78                ,34:7e:5c:cf:04:92   C                     
192.168.1.68                     ,(incomplete)                              
192.168.6.79                ,c2:90:73:b8:16:a8   C                     
192.168.1.69                     ,(incomplete)                              
192.168.6.80                ,d6:bd:48:24:55:73   C                     
192.168.11.130              ,00:15:65:e2:71:84   C                     
192.168.1.70                     ,(incomplete)                              
192.168.6.81                ,48:d6:d5:5f:17:f2   C                     
192.168.12.102                   ,(incomplete)                              
192.168.1.71                     ,(incomplete)                              
192.168.13.21               ,00:20:6b:9f:72:a9   C                     
192.168.11.132              ,80:5e:c0:04:49:d6   C                     
192.168.6.83                ,66:8c:96:4e:a3:e9   C                     
192.168.1.72                     ,(incomplete)                              
192.168.12.104                   ,(incomplete)                              
192.168.1.73                     ,(incomplete)                              
192.168.6.84                     ,(incomplete)                              
192.168.24.167              ,8c:ec:4b:d2:dd:00   C                     
192.168.1.74                     ,(incomplete)                              
192.168.12.106                   ,(incomplete)                              
192.168.11.135              ,34:7e:5c:c5:b5:be   C                     
192.168.1.75                     ,(incomplete)                              
192.168.12.107              ,80:5e:c0:04:40:f4   C                     
192.168.1.76                     ,(incomplete)                              
192.168.1.77                     ,(incomplete)                              
192.168.11.138              ,8c:ec:4b:71:40:41   C                     
192.168.12.109              ,80:5e:c0:04:41:ad   C                     
